Short Desc,Type,Material,Size,Length,Trade Size:,Type:,Conduit Type:,Length:,Style:,Color:,Trade Size:.1,Jacket:,Core:,Weight:,Temperature:,End Type:,Ground:,Throat:,Angle:,Outside Diameter:,Application:,Package:,SKU,Manufacturer Series,PDF Link
Kwik-Fit    EMT - Thinwall Conduit 3-1/2 in,EMT,Galvanized Steel,3.5,10 ft.,3-1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,3-1/2 in.,0,0,349 lb. / 100 ft.,0,Integral Set-Screw Coupling,0,0.0,0.0,0,0.0,0.0,9111103029.0,E-Z PULL,
EMT - Thinwall Conduit 3 in,EMT,Galvanized Steel,3.0,10 ft.,3 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,3 in.,0,0,263 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111102008.0,E-Z PULL,
EMT - Thinwall Conduit 3-1/2 in,EMT,Galvanized Steel,3.5,10 ft.,3-1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,3-1/2 in.,0,0,249 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111102009.0,E-Z PULL,
Electrunite    EMT - Thinwall Conduit 1/2 in,EMT,Galvanized Steel,0.5,10 ft.,1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,1/2 in.,0,0,30 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,40036092000.0,,
EMT - Thinwall Conduit 1-1/2 in,EMT,Galvanized Steel,1.5,10 ft.,1-1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,1-1/2 in.,0,0,116 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111102005.0,E-Z PULL,
Kwik-Fit    EMT - Thinwall Conduit 3-1/2 in,EMT,Galvanized Steel,3.5,10 ft.,3-1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,3-1/2 in.,0,0,383 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,9111115045.0,E-Z PULL,
Electrunite    EMT - Thinwall Conduit 3/4 in,EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,3/4 in.,0,0,46 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,40036092001.0,,
E-Z PULL® TRUE COLOR™    EMT - Thinwall Conduit 1/2 in,EMT,Galvanized Steel,0.5,10 ft.,1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Red,1/2 in.,0,0,30 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111101800.0,,
EMT - Thinwall Conduit 2 in,EMT,Galvanized Steel,2.0,10 ft.,2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,2 in.,0,0,148 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111102006.0,E-Z PULL,
EMT - Thinwall Conduit 1/2 in,EMT,Galvanized Steel,0.5,10 ft.,1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,1/2 in.,0,0,30 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111102001.0,E-Z PULL,
EMT - Thinwall Conduit 4 in,EMT,Galvanized Steel,4.0,10 ft.,4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,4 in.,0,0,393 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111102010.0,E-Z PULL,
Kwik-Fit    EMT - Thinwall Conduit 2-1/2 in,EMT,Galvanized Steel,2.5,10 ft.,2-1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,2-1/2 in.,0,0,216 lb. / 100 ft.,0,Integral Set-Screw Coupling,0,0.0,0.0,0,0.0,0.0,9111103027.0,E-Z PULL,
EMT - Thinwall Conduit 1-1/4 in,EMT,Galvanized Steel,1.25,10 ft.,1-1/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,1-1/4 in.,0,0,101 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111102004.0,E-Z PULL,
Kwik-Fit    EMT - Thinwall Conduit 2-1/2 in,EMT,Galvanized Steel,2.5,10 ft.,2-1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,2-1/2 in.,0,0,239 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,9111115043.0,E-Z PULL,
EMT - Thinwall Conduit 1 in,EMT,Galvanized Steel,1.0,10 ft.,1 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,1 in.,0,0,67 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111102003.0,E-Z PULL,
E-Z PULL® TRUE COLOR™    EMT - Thinwall Conduit 1 in,EMT,Galvanized Steel,1.0,10 ft.,1 in.,EMT - Thinwall Conduit,0,10 ft.,0,Blue,1 in.,0,0,67 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111101812.0,,
EMT - Thinwall Conduit 3/4 in,EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,3/4 in.,0,0,46 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,9111102002.0,E-Z PULL,
"Conduit, Liquidtight Flexible Metallic, 50-ft Length",LFMC,PVC Coated Galvanized Steel,1.5,50 ft.,1-1/2 in.,0,Liquidtight Flexible Metallic,50 ft.,OR,Gray,1-1/2 in.,PVC,Galvanized Steel,0,-23 C to 105 C,0,0,0.0,0.0,1.865 to 1.9 in.,0.0,0.0,71411836851.0,,
"Conduit, Liquidtight Flexible Metallic, -20 to 60 deg C",LFMC,PVC Coated Galvanized Steel,1.0,100 ft.,1 in.,0,Liquidtight Flexible Metallic,100 ft.,EFST,Black,1 in.,PVC,Galvanized Steel,0,-20 C to 60 C,0,No,0.0,0.0,1.29 to 1.315 in.,0.0,0.0,71411836031.0,,
"Conduit, Liquidtight Flexible Metallic, -20 to 60 deg C",LFMC,PVC Coated Galvanized Steel,0.75,100 ft.,3/4 in.,0,Liquidtight Flexible Metallic,100 ft.,MTC,Black,3/4 in.,PVC,Galvanized Steel,0,-20 C to 60 C,0,No,0.0,0.0,1.009 to 1.034 in.,0.0,0.0,71411838322.0,,
"Conduit, Liquidtight Flexible Metallic, -20 to 60 deg C",LFMC,PVC Coated Galvanized Steel,2.0,50 ft.,2 in.,0,Liquidtight Flexible Metallic,50 ft.,EFST,Black,2 in.,PVC,Galvanized Steel,0,-20 C to 60 C,0,No,0.0,0.0,2.34 to 2.375 in.,0.0,0.0,71411836061.0,,
"Conduit, Liquidtight Flexible Metallic, -20 to 60 deg C",LFMC,PVC Coated Galvanized Steel,2.0,100 ft.,2 in.,0,Liquidtight Flexible Metallic,100 ft.,EFST,Black,2 in.,PVC,Galvanized Steel,0,-20 C to 60 C,0,0,0.0,0.0,2.34 to 2.375 in.,0.0,0.0,71411836068.0,,
"Conduit, Liquidtight Flexible Metallic, 3 in. Trade",LFMC,PVC Coated Galvanized Steel,3.0,25 ft.,3 in.,0,Liquidtight Flexible Metallic,25 ft.,EFST,Black,3 in.,PVC,Galvanized Steel,0,-40 C to 80 C,0,0,0.0,0.0,3.46 to 3.5 in.,0.0,0.0,71411834081.0,,
"Conduit, Liquidtight Flexible Metallic, -20 to 60 deg C",LFMC,PVC Coated Galvanized Steel,1.5,50 ft.,1-1/2 in.,0,Liquidtight Flexible Metallic,50 ft.,EFST,Black,1-1/2 in.,PVC,Galvanized Steel,0,-20 C to 60 C,0,No,0.0,0.0,1.865 to 1.9 in.,0.0,0.0,71411836051.0,,
"Conduit, Liquidtight Flexible Metallic",LFMC,PVC Coated Galvanized Steel,2.5,25 ft.,2-1/2 in.,0,Liquidtight Flexible Metallic,25 ft.,EFST,Black,2-1/2 in.,PVC,Galvanized Steel,0,-40 C to 80 C,0,0,0.0,0.0,2.84 to 2.875 in.,0.0,0.0,71411834072.0,,
"Conduit, Liquidtight Flexible Metallic, 100-ft Length",LFMC,PVC Coated Galvanized Steel,2.0,100 ft.,2 in.,0,Liquidtight Flexible Metallic,100 ft.,HCX,Black,2 in.,Thermoplastic Rubber,Galvanized Steel,0,-60 C to 150 C,0,0,0.0,0.0,2.34 to 2.375 in.,0.0,0.0,71411839168.0,,
"Conduit, Liquidtight Flexible Metallic, 25-ft Length",LFMC,PVC Coated Galvanized Steel,4.0,25 ft.,4 in.,0,Liquidtight Flexible Metallic,25 ft.,HTUA,Black,4 in.,PVC,Galvanized Steel,0,"-46 C to 105 C (UL), -46 C to 75 C (CSA)",0,0,0.0,0.0,4.46 to 4.5 in.,0.0,0.0,71411837691.0,,
Liquid-Tuff    Liquidtight Flexible Metallic 1-1/2 inch,LFMC,PVC Coated Galvanized Steel,1.5,50 ft.,1-1/2 in.,0,Liquidtight Flexible Metallic,50 ft.,UA/LA UL/CSA,Gray,1-1/2 in.,PVC,"Steel, Galvanized",0,-30 C to 80 C,0,None,0.0,0.0,1.9 in.,0.0,0.0,7768012022.0,Type LFMC,
Sealtite    Liquidtight Flexible Metallic 3/4 inch,LFMC,PVC Coated Galvanized Steel,0.75,500 ft.,3/4 in.,0,Liquidtight Flexible Metallic,500 ft.,UA/LA UL/CSA,Blue,3/4 in.,PVC,"Steel, Galvanized",0,-20 C to 60 C,0,Copper,0.0,0.0,1.05 in.,0.0,0.0,71411834528.0,Type CW,
Sealtite    Liquidtight Flexible Metallic 1/2 inch,LFMC,PVC Coated Galvanized Steel,0.5,200 ft.,1/2 in.,0,Liquidtight Flexible Metallic,200 ft.,EF,Gray,1/2 in.,PVC,"Steel, Galvanized",0,-10 C to 60 C,0,0,0.0,0.0,0.84 in.,0.0,0.0,71411839411.0,Type EF,
Liquid-Tuff    Liquidtight Flexible Metallic 1 inch,LFMC,PVC Coated Galvanized Steel,1.0,100 ft.,1 in.,0,Liquidtight Flexible Metallic,100 ft.,UA/LA UL/CSA,Gray,1 in.,PVC,"Steel, Galvanized",0,-30 C to 80 C,0,Copper,0.0,0.0,1.315 in.,0.0,0.0,7768012014.0,Type LFMC,
